[0.000000] (-) TimerEvent: {}
[0.001422] (-) JobUnselected: {'identifier': 'adi_driver'}
[0.001508] (-) JobUnselected: {'identifier': 'amathutils_lib'}
[0.001571] (-) JobUnselected: {'identifier': 'as'}
[0.001629] (-) JobUnselected: {'identifier': 'astar_search'}
[0.001688] (-) JobUnselected: {'identifier': 'autoware_bag_tools'}
[0.001746] (-) JobUnselected: {'identifier': 'autoware_build_flags'}
[0.001800] (-) JobUnselected: {'identifier': 'autoware_camera_lidar_calibrator'}
[0.001859] (-) JobUnselected: {'identifier': 'autoware_can_msgs'}
[0.001913] (-) JobUnselected: {'identifier': 'autoware_config_msgs'}
[0.001967] (-) JobUnselected: {'identifier': 'autoware_connector'}
[0.002021] (-) JobUnselected: {'identifier': 'autoware_driveworks_gmsl_interface'}
[0.002075] (-) JobUnselected: {'identifier': 'autoware_driveworks_interface'}
[0.002129] (-) JobUnselected: {'identifier': 'autoware_external_msgs'}
[0.002183] (-) JobUnselected: {'identifier': 'autoware_health_checker'}
[0.002237] (-) JobUnselected: {'identifier': 'autoware_lanelet2_msgs'}
[0.002291] (-) JobUnselected: {'identifier': 'autoware_launcher'}
[0.002345] (-) JobUnselected: {'identifier': 'autoware_launcher_rviz'}
[0.002399] (-) JobUnselected: {'identifier': 'autoware_map_msgs'}
[0.002453] (-) JobUnselected: {'identifier': 'autoware_msgs'}
[0.002507] (-) JobUnselected: {'identifier': 'autoware_pointgrey_drivers'}
[0.002561] (-) JobUnselected: {'identifier': 'autoware_quickstart_examples'}
[0.002619] (-) JobUnselected: {'identifier': 'autoware_rviz_plugins'}
[0.002673] (-) JobUnselected: {'identifier': 'autoware_system_msgs'}
[0.002727] (-) JobUnselected: {'identifier': 'calibration_publisher'}
[0.002781] (-) JobUnselected: {'identifier': 'carla_autoware_bridge'}
[0.002835] (-) JobUnselected: {'identifier': 'citysim'}
[0.002889] (-) JobUnselected: {'identifier': 'costmap_generator'}
[0.002943] (-) JobUnselected: {'identifier': 'custom_msgs'}
[0.002997] (-) JobUnselected: {'identifier': 'data_preprocessor'}
[0.003051] (-) JobUnselected: {'identifier': 'decision_maker'}
[0.003105] (-) JobUnselected: {'identifier': 'decision_maker_panel'}
[0.003159] (-) JobUnselected: {'identifier': 'detected_objects_visualizer'}
[0.003213] (-) JobUnselected: {'identifier': 'dp_planner'}
[0.003267] (-) JobUnselected: {'identifier': 'ds4'}
[0.003317] (-) JobUnselected: {'identifier': 'ds4_driver'}
[0.003371] (-) JobUnselected: {'identifier': 'ds4_msgs'}
[0.003425] (-) JobUnselected: {'identifier': 'ekf_localizer'}
[0.003479] (-) JobUnselected: {'identifier': 'emergency_handler'}
[0.003533] (-) JobUnselected: {'identifier': 'fastvirtualscan'}
[0.003654] (-) JobUnselected: {'identifier': 'ff_waypoint_follower'}
[0.003717] (-) JobUnselected: {'identifier': 'freespace_planner'}
[0.003744] (-) JobUnselected: {'identifier': 'garmin'}
[0.003767] (-) JobUnselected: {'identifier': 'gazebo_camera_description'}
[0.003789] (-) JobUnselected: {'identifier': 'gazebo_imu_description'}
[0.003812] (-) JobUnselected: {'identifier': 'gazebo_world_description'}
[0.003834] (-) JobUnselected: {'identifier': 'glviewer'}
[0.003857] (-) JobUnselected: {'identifier': 'gnss'}
[0.003879] (-) JobUnselected: {'identifier': 'gnss_localizer'}
[0.003902] (-) JobUnselected: {'identifier': 'graph_tools'}
[0.003924] (-) JobUnselected: {'identifier': 'hokuyo'}
[0.003947] (-) JobUnselected: {'identifier': 'image_processor'}
[0.003969] (-) JobUnselected: {'identifier': 'imm_ukf_pda_track'}
[0.003992] (-) JobUnselected: {'identifier': 'integrated_viewer'}
[0.004019] (-) JobUnselected: {'identifier': 'javad_navsat_driver'}
[0.004041] (-) JobUnselected: {'identifier': 'kitti_box_publisher'}
[0.004064] (-) JobUnselected: {'identifier': 'kitti_launch'}
[0.004086] (-) JobUnselected: {'identifier': 'kitti_player'}
[0.004109] (-) JobUnselected: {'identifier': 'kvaser'}
[0.004131] (-) JobUnselected: {'identifier': 'lane_planner'}
[0.004154] (-) JobUnselected: {'identifier': 'lanelet2_extension'}
[0.004176] (-) JobUnselected: {'identifier': 'lanelet_aisan_converter'}
[0.004199] (-) JobUnselected: {'identifier': 'lattice_planner'}
[0.004230] (-) JobUnselected: {'identifier': 'lgsvl_simulator_bridge'}
[0.004253] (-) JobUnselected: {'identifier': 'libvectormap'}
[0.004275] (-) JobUnselected: {'identifier': 'libwaypoint_follower'}
[0.004298] (-) JobUnselected: {'identifier': 'lidar_apollo_cnn_seg_detect'}
[0.004320] (-) JobUnselected: {'identifier': 'lidar_euclidean_cluster_detect'}
[0.004343] (-) JobUnselected: {'identifier': 'lidar_fake_perception'}
[0.004365] (-) JobUnselected: {'identifier': 'lidar_kf_contour_track'}
[0.004388] (-) JobUnselected: {'identifier': 'lidar_localizer'}
[0.004410] (-) JobUnselected: {'identifier': 'lidar_naive_l_shape_detect'}
[0.004433] (-) JobUnselected: {'identifier': 'lidar_point_pillars'}
[0.004460] (-) JobUnselected: {'identifier': 'lidar_shape_estimation'}
[0.004482] (-) JobUnselected: {'identifier': 'log_tools'}
[0.004505] (-) JobUnselected: {'identifier': 'map_file'}
[0.004527] (-) JobUnselected: {'identifier': 'map_tf_generator'}
[0.004550] (-) JobUnselected: {'identifier': 'map_tools'}
[0.004572] (-) JobUnselected: {'identifier': 'marker_downsampler'}
[0.004595] (-) JobUnselected: {'identifier': 'memsic_imu'}
[0.004617] (-) JobUnselected: {'identifier': 'microstrain_driver'}
[0.004640] (-) JobUnselected: {'identifier': 'mpc_follower'}
[0.004662] (-) JobUnselected: {'identifier': 'mqtt_socket'}
[0.004685] (-) JobUnselected: {'identifier': 'multi_lidar_calibrator'}
[0.004707] (-) JobUnselected: {'identifier': 'naive_motion_predict'}
[0.004730] (-) JobUnselected: {'identifier': 'ndt_cpu'}
[0.004757] (-) JobUnselected: {'identifier': 'ndt_gpu'}
[0.004779] (-) JobUnselected: {'identifier': 'ndt_tku'}
[0.004802] (-) JobUnselected: {'identifier': 'nmea_navsat'}
[0.004824] (-) JobUnselected: {'identifier': 'obj_db'}
[0.004847] (-) JobUnselected: {'identifier': 'object_map'}
[0.004869] (-) JobUnselected: {'identifier': 'oculus_socket'}
[0.004892] (-) JobUnselected: {'identifier': 'op_global_planner'}
[0.004910] (-) JobUnselected: {'identifier': 'op_local_planner'}
[0.004932] (-) JobUnselected: {'identifier': 'op_planner'}
[0.004950] (-) JobUnselected: {'identifier': 'op_ros_helpers'}
[0.004968] (-) JobUnselected: {'identifier': 'op_simu'}
[0.004986] (-) JobUnselected: {'identifier': 'op_simulation_package'}
[0.005004] (-) JobUnselected: {'identifier': 'op_utilities'}
[0.005022] (-) JobUnselected: {'identifier': 'op_utility'}
[0.005040] (-) JobUnselected: {'identifier': 'pc2_downsampler'}
[0.005058] (-) JobUnselected: {'identifier': 'pcl_omp_registration'}
[0.005076] (-) JobUnselected: {'identifier': 'pixel_cloud_fusion'}
[0.005099] (-) JobUnselected: {'identifier': 'points2image'}
[0.005121] (-) JobUnselected: {'identifier': 'points_downsampler'}
[0.005144] (-) JobUnselected: {'identifier': 'points_preprocessor'}
[0.005166] (-) JobUnselected: {'identifier': 'pos_db'}
[0.005184] (-) JobUnselected: {'identifier': 'pure_pursuit'}
[0.005202] (-) JobUnselected: {'identifier': 'range_vision_fusion'}
[0.005220] (-) JobUnselected: {'identifier': 'road_occupancy_processor'}
[0.005238] (-) JobUnselected: {'identifier': 'roi_object_filter'}
[0.005256] (-) JobUnselected: {'identifier': 'ros_observer'}
[0.005274] (-) JobUnselected: {'identifier': 'rosbag_controller'}
[0.005297] (-) JobUnselected: {'identifier': 'rosinterface'}
[0.005319] (-) JobUnselected: {'identifier': 'runtime_manager'}
[0.005342] (-) JobUnselected: {'identifier': 'sick_ldmrs_description'}
[0.005364] (-) JobUnselected: {'identifier': 'sick_ldmrs_driver'}
[0.005387] (-) JobUnselected: {'identifier': 'sick_ldmrs_laser'}
[0.005409] (-) JobUnselected: {'identifier': 'sick_ldmrs_msgs'}
[0.005432] (-) JobUnselected: {'identifier': 'sick_ldmrs_tools'}
[0.005454] (-) JobUnselected: {'identifier': 'sick_lms5xx'}
[0.005477] (-) JobUnselected: {'identifier': 'sound_player'}
[0.005499] (-) JobUnselected: {'identifier': 'state_machine_lib'}
[0.005522] (-) JobUnselected: {'identifier': 'tablet_socket'}
[0.005544] (-) JobUnselected: {'identifier': 'tablet_socket_msgs'}
[0.005567] (-) JobUnselected: {'identifier': 'trafficlight_recognizer'}
[0.005589] (-) JobUnselected: {'identifier': 'twist2odom'}
[0.005616] (-) JobUnselected: {'identifier': 'twist_filter'}
[0.005639] (-) JobUnselected: {'identifier': 'twist_gate'}
[0.005661] (-) JobUnselected: {'identifier': 'twist_generator'}
[0.005684] (-) JobUnselected: {'identifier': 'udon_socket'}
[0.005706] (-) JobUnselected: {'identifier': 'vectacam'}
[0.005729] (-) JobUnselected: {'identifier': 'vector_map'}
[0.005751] (-) JobUnselected: {'identifier': 'vector_map_msgs'}
[0.005774] (-) JobUnselected: {'identifier': 'vector_map_server'}
[0.005796] (-) JobUnselected: {'identifier': 'vehicle_description'}
[0.005819] (-) JobUnselected: {'identifier': 'vehicle_engage_panel'}
[0.005841] (-) JobUnselected: {'identifier': 'vehicle_gazebo_simulation_interface'}
[0.005864] (-) JobUnselected: {'identifier': 'vehicle_gazebo_simulation_launcher'}
[0.005886] (-) JobUnselected: {'identifier': 'vehicle_model'}
[0.005909] (-) JobUnselected: {'identifier': 'vehicle_sim_model'}
[0.005931] (-) JobUnselected: {'identifier': 'vehicle_socket'}
[0.005954] (-) JobUnselected: {'identifier': 'vel_pose_diff_checker'}
[0.005976] (-) JobUnselected: {'identifier': 'vision_beyond_track'}
[0.005999] (-) JobUnselected: {'identifier': 'vision_darknet_detect'}
[0.006021] (-) JobUnselected: {'identifier': 'vision_lane_detect'}
[0.006044] (-) JobUnselected: {'identifier': 'vision_segment_enet_detect'}
[0.006066] (-) JobUnselected: {'identifier': 'vision_ssd_detect'}
[0.006089] (-) JobUnselected: {'identifier': 'vlg22c_cam'}
[0.006111] (-) JobUnselected: {'identifier': 'way_planner'}
[0.006134] (-) JobUnselected: {'identifier': 'waypoint_maker'}
[0.006156] (-) JobUnselected: {'identifier': 'wf_simulator'}
[0.006179] (-) JobUnselected: {'identifier': 'xsens_driver'}
[0.006201] (-) JobUnselected: {'identifier': 'ymc'}
[0.006228] (waypoint_planner) JobQueued: {'identifier': 'waypoint_planner', 'dependencies': OrderedDict([('autoware_build_flags', '/home/autoware/Autoware/install/autoware_build_flags'), ('autoware_config_msgs', '/home/autoware/Autoware/install/autoware_config_msgs'), ('autoware_lanelet2_msgs', '/home/autoware/Autoware/install/autoware_lanelet2_msgs'), ('autoware_msgs', '/home/autoware/Autoware/install/autoware_msgs'), ('autoware_system_msgs', '/home/autoware/Autoware/install/autoware_system_msgs'), ('ros_observer', '/home/autoware/Autoware/install/ros_observer'), ('vector_map_msgs', '/home/autoware/Autoware/install/vector_map_msgs'), ('amathutils_lib', '/home/autoware/Autoware/install/amathutils_lib'), ('astar_search', '/home/autoware/Autoware/install/astar_search'), ('autoware_health_checker', '/home/autoware/Autoware/install/autoware_health_checker'), ('vector_map', '/home/autoware/Autoware/install/vector_map'), ('lanelet2_extension', '/home/autoware/Autoware/install/lanelet2_extension'), ('libwaypoint_follower', '/home/autoware/Autoware/install/libwaypoint_follower')])}
[0.006264] (waypoint_planner) JobStarted: {'identifier': 'waypoint_planner'}
[0.099600] (-) TimerEvent: {}
[0.200173] (-) TimerEvent: {}
[0.300624] (-) TimerEvent: {}
[0.400572] (waypoint_planner) JobProgress: {'identifier': 'waypoint_planner', 'progress': 'cmake'}
[0.400707] (-) TimerEvent: {}
[0.402997] (waypoint_planner) JobProgress: {'identifier': 'waypoint_planner', 'progress': 'build'}
