[0.000000] (-) TimerEvent: {}
[0.000534] (-) JobUnselected: {'identifier': 'adi_driver'}
[0.000624] (-) JobUnselected: {'identifier': 'amathutils_lib'}
[0.000785] (-) JobUnselected: {'identifier': 'as'}
[0.001049] (-) JobUnselected: {'identifier': 'astar_search'}
[0.001153] (-) JobUnselected: {'identifier': 'autoware_bag_tools'}
[0.001220] (-) JobUnselected: {'identifier': 'autoware_build_flags'}
[0.001273] (-) JobUnselected: {'identifier': 'autoware_camera_lidar_calibrator'}
[0.001883] (-) JobUnselected: {'identifier': 'autoware_can_msgs'}
[0.001996] (-) JobUnselected: {'identifier': 'autoware_config_msgs'}
[0.002015] (-) JobUnselected: {'identifier': 'autoware_connector'}
[0.002031] (-) JobUnselected: {'identifier': 'autoware_driveworks_gmsl_interface'}
[0.002046] (-) JobUnselected: {'identifier': 'autoware_driveworks_interface'}
[0.002060] (-) JobUnselected: {'identifier': 'autoware_external_msgs'}
[0.002075] (-) JobUnselected: {'identifier': 'autoware_health_checker'}
[0.002089] (-) JobUnselected: {'identifier': 'autoware_lanelet2_msgs'}
[0.002104] (-) JobUnselected: {'identifier': 'autoware_launcher'}
[0.002118] (-) JobUnselected: {'identifier': 'autoware_launcher_rviz'}
[0.002132] (-) JobUnselected: {'identifier': 'autoware_map_msgs'}
[0.002146] (-) JobUnselected: {'identifier': 'autoware_msgs'}
[0.002161] (-) JobUnselected: {'identifier': 'autoware_pointgrey_drivers'}
[0.002175] (-) JobUnselected: {'identifier': 'autoware_quickstart_examples'}
[0.002193] (-) JobUnselected: {'identifier': 'autoware_rviz_plugins'}
[0.002207] (-) JobUnselected: {'identifier': 'autoware_system_msgs'}
[0.002222] (-) JobUnselected: {'identifier': 'calibration_publisher'}
[0.002236] (-) JobUnselected: {'identifier': 'carla_autoware_bridge'}
[0.002250] (-) JobUnselected: {'identifier': 'citysim'}
[0.002264] (-) JobUnselected: {'identifier': 'costmap_generator'}
[0.002278] (-) JobUnselected: {'identifier': 'custom_msgs'}
[0.002292] (-) JobUnselected: {'identifier': 'data_preprocessor'}
[0.002306] (-) JobUnselected: {'identifier': 'decision_maker'}
[0.002320] (-) JobUnselected: {'identifier': 'decision_maker_panel'}
[0.002334] (-) JobUnselected: {'identifier': 'detected_objects_visualizer'}
[0.002348] (-) JobUnselected: {'identifier': 'dp_planner'}
[0.002363] (-) JobUnselected: {'identifier': 'ds4'}
[0.002377] (-) JobUnselected: {'identifier': 'ds4_driver'}
[0.002391] (-) JobUnselected: {'identifier': 'ds4_msgs'}
[0.002405] (-) JobUnselected: {'identifier': 'ekf_localizer'}
[0.002419] (-) JobUnselected: {'identifier': 'emergency_handler'}
[0.002433] (-) JobUnselected: {'identifier': 'fastvirtualscan'}
[0.002447] (-) JobUnselected: {'identifier': 'ff_waypoint_follower'}
[0.002461] (-) JobUnselected: {'identifier': 'freespace_planner'}
[0.002475] (-) JobUnselected: {'identifier': 'garmin'}
[0.002489] (-) JobUnselected: {'identifier': 'gazebo_camera_description'}
[0.002502] (-) JobUnselected: {'identifier': 'gazebo_imu_description'}
[0.002516] (-) JobUnselected: {'identifier': 'gazebo_world_description'}
[0.002531] (-) JobUnselected: {'identifier': 'glviewer'}
[0.002544] (-) JobUnselected: {'identifier': 'gnss'}
[0.002558] (-) JobUnselected: {'identifier': 'gnss_localizer'}
[0.002572] (-) JobUnselected: {'identifier': 'graph_tools'}
[0.002586] (-) JobUnselected: {'identifier': 'hokuyo'}
[0.002600] (-) JobUnselected: {'identifier': 'image_processor'}
[0.002614] (-) JobUnselected: {'identifier': 'imm_ukf_pda_track'}
[0.002628] (-) JobUnselected: {'identifier': 'integrated_viewer'}
[0.002642] (-) JobUnselected: {'identifier': 'javad_navsat_driver'}
[0.002656] (-) JobUnselected: {'identifier': 'kitti_box_publisher'}
[0.002669] (-) JobUnselected: {'identifier': 'kitti_launch'}
[0.002683] (-) JobUnselected: {'identifier': 'kitti_player'}
[0.002697] (-) JobUnselected: {'identifier': 'kvaser'}
[0.002711] (-) JobUnselected: {'identifier': 'lane_planner'}
[0.002725] (-) JobUnselected: {'identifier': 'lanelet2_extension'}
[0.002739] (-) JobUnselected: {'identifier': 'lanelet_aisan_converter'}
[0.002753] (-) JobUnselected: {'identifier': 'lattice_planner'}
[0.002814] (-) JobUnselected: {'identifier': 'lgsvl_simulator_bridge'}
[0.002828] (-) JobUnselected: {'identifier': 'libvectormap'}
[0.002843] (-) JobUnselected: {'identifier': 'libwaypoint_follower'}
[0.002857] (-) JobUnselected: {'identifier': 'lidar_apollo_cnn_seg_detect'}
[0.002871] (-) JobUnselected: {'identifier': 'lidar_euclidean_cluster_detect'}
[0.002884] (-) JobUnselected: {'identifier': 'lidar_fake_perception'}
[0.002899] (-) JobUnselected: {'identifier': 'lidar_kf_contour_track'}
[0.002912] (-) JobUnselected: {'identifier': 'lidar_localizer'}
[0.002926] (-) JobUnselected: {'identifier': 'lidar_naive_l_shape_detect'}
[0.002940] (-) JobUnselected: {'identifier': 'lidar_point_pillars'}
[0.002954] (-) JobUnselected: {'identifier': 'lidar_shape_estimation'}
[0.002968] (-) JobUnselected: {'identifier': 'log_tools'}
[0.002982] (-) JobUnselected: {'identifier': 'map_file'}
[0.002996] (-) JobUnselected: {'identifier': 'map_tf_generator'}
[0.003010] (-) JobUnselected: {'identifier': 'map_tools'}
[0.003024] (-) JobUnselected: {'identifier': 'marker_downsampler'}
[0.003038] (-) JobUnselected: {'identifier': 'memsic_imu'}
[0.003051] (-) JobUnselected: {'identifier': 'microstrain_driver'}
[0.003065] (-) JobUnselected: {'identifier': 'mpc_follower'}
[0.003079] (-) JobUnselected: {'identifier': 'mqtt_socket'}
[0.003093] (-) JobUnselected: {'identifier': 'multi_lidar_calibrator'}
[0.003106] (-) JobUnselected: {'identifier': 'naive_motion_predict'}
[0.003120] (-) JobUnselected: {'identifier': 'ndt_cpu'}
[0.003146] (-) JobUnselected: {'identifier': 'ndt_gpu'}
[0.003159] (-) JobUnselected: {'identifier': 'ndt_tku'}
[0.003173] (-) JobUnselected: {'identifier': 'nmea_navsat'}
[0.003187] (-) JobUnselected: {'identifier': 'obj_db'}
[0.003201] (-) JobUnselected: {'identifier': 'object_map'}
[0.003215] (-) JobUnselected: {'identifier': 'oculus_socket'}
[0.003229] (-) JobUnselected: {'identifier': 'op_global_planner'}
[0.003242] (-) JobUnselected: {'identifier': 'op_local_planner'}
[0.003256] (-) JobUnselected: {'identifier': 'op_planner'}
[0.003270] (-) JobUnselected: {'identifier': 'op_ros_helpers'}
[0.003283] (-) JobUnselected: {'identifier': 'op_simu'}
[0.003297] (-) JobUnselected: {'identifier': 'op_simulation_package'}
[0.003311] (-) JobUnselected: {'identifier': 'op_utilities'}
[0.003325] (-) JobUnselected: {'identifier': 'op_utility'}
[0.003339] (-) JobUnselected: {'identifier': 'pc2_downsampler'}
[0.003353] (-) JobUnselected: {'identifier': 'pcl_omp_registration'}
[0.003366] (-) JobUnselected: {'identifier': 'pixel_cloud_fusion'}
[0.003380] (-) JobUnselected: {'identifier': 'points2image'}
[0.003392] (-) JobUnselected: {'identifier': 'points_downsampler'}
[0.003403] (-) JobUnselected: {'identifier': 'points_preprocessor'}
[0.003414] (-) JobUnselected: {'identifier': 'pos_db'}
[0.003426] (-) JobUnselected: {'identifier': 'pure_pursuit'}
[0.003443] (-) JobUnselected: {'identifier': 'range_vision_fusion'}
[0.003457] (-) JobUnselected: {'identifier': 'road_occupancy_processor'}
[0.003471] (-) JobUnselected: {'identifier': 'roi_object_filter'}
[0.003485] (-) JobUnselected: {'identifier': 'ros_observer'}
[0.003498] (-) JobUnselected: {'identifier': 'rosbag_controller'}
[0.003512] (-) JobUnselected: {'identifier': 'rosinterface'}
[0.003526] (-) JobUnselected: {'identifier': 'runtime_manager'}
[0.003540] (-) JobUnselected: {'identifier': 'sick_ldmrs_description'}
[0.003553] (-) JobUnselected: {'identifier': 'sick_ldmrs_driver'}
[0.003567] (-) JobUnselected: {'identifier': 'sick_ldmrs_laser'}
[0.003581] (-) JobUnselected: {'identifier': 'sick_ldmrs_msgs'}
[0.003595] (-) JobUnselected: {'identifier': 'sick_ldmrs_tools'}
[0.003609] (-) JobUnselected: {'identifier': 'sick_lms5xx'}
[0.003622] (-) JobUnselected: {'identifier': 'sound_player'}
[0.003636] (-) JobUnselected: {'identifier': 'state_machine_lib'}
[0.003650] (-) JobUnselected: {'identifier': 'tablet_socket'}
[0.003664] (-) JobUnselected: {'identifier': 'tablet_socket_msgs'}
[0.003677] (-) JobUnselected: {'identifier': 'trafficlight_recognizer'}
[0.003691] (-) JobUnselected: {'identifier': 'twist2odom'}
[0.003781] (-) JobUnselected: {'identifier': 'twist_filter'}
[0.003830] (-) JobUnselected: {'identifier': 'twist_gate'}
[0.003844] (-) JobUnselected: {'identifier': 'twist_generator'}
[0.003858] (-) JobUnselected: {'identifier': 'udon_socket'}
[0.003872] (-) JobUnselected: {'identifier': 'vectacam'}
[0.003886] (-) JobUnselected: {'identifier': 'vector_map'}
[0.003899] (-) JobUnselected: {'identifier': 'vector_map_msgs'}
[0.003913] (-) JobUnselected: {'identifier': 'vector_map_server'}
[0.003927] (-) JobUnselected: {'identifier': 'vehicle_description'}
[0.003941] (-) JobUnselected: {'identifier': 'vehicle_engage_panel'}
[0.003955] (-) JobUnselected: {'identifier': 'vehicle_gazebo_simulation_interface'}
[0.003968] (-) JobUnselected: {'identifier': 'vehicle_gazebo_simulation_launcher'}
[0.003982] (-) JobUnselected: {'identifier': 'vehicle_model'}
[0.003996] (-) JobUnselected: {'identifier': 'vehicle_sim_model'}
[0.004009] (-) JobUnselected: {'identifier': 'vehicle_socket'}
[0.004023] (-) JobUnselected: {'identifier': 'vel_pose_diff_checker'}
[0.004037] (-) JobUnselected: {'identifier': 'vision_beyond_track'}
[0.004050] (-) JobUnselected: {'identifier': 'vision_darknet_detect'}
[0.004064] (-) JobUnselected: {'identifier': 'vision_lane_detect'}
[0.004078] (-) JobUnselected: {'identifier': 'vision_segment_enet_detect'}
[0.004091] (-) JobUnselected: {'identifier': 'vision_ssd_detect'}
[0.004105] (-) JobUnselected: {'identifier': 'vlg22c_cam'}
[0.004119] (-) JobUnselected: {'identifier': 'way_planner'}
[0.004133] (-) JobUnselected: {'identifier': 'waypoint_maker'}
[0.004146] (-) JobUnselected: {'identifier': 'wf_simulator'}
[0.004160] (-) JobUnselected: {'identifier': 'xsens_driver'}
[0.004174] (-) JobUnselected: {'identifier': 'ymc'}
[0.004190] (waypoint_planner) JobQueued: {'identifier': 'waypoint_planner', 'dependencies': OrderedDict([('autoware_build_flags', '/home/autoware/Autoware/install/autoware_build_flags'), ('autoware_config_msgs', '/home/autoware/Autoware/install/autoware_config_msgs'), ('autoware_lanelet2_msgs', '/home/autoware/Autoware/install/autoware_lanelet2_msgs'), ('autoware_msgs', '/home/autoware/Autoware/install/autoware_msgs'), ('autoware_system_msgs', '/home/autoware/Autoware/install/autoware_system_msgs'), ('ros_observer', '/home/autoware/Autoware/install/ros_observer'), ('vector_map_msgs', '/home/autoware/Autoware/install/vector_map_msgs'), ('amathutils_lib', '/home/autoware/Autoware/install/amathutils_lib'), ('astar_search', '/home/autoware/Autoware/install/astar_search'), ('autoware_health_checker', '/home/autoware/Autoware/install/autoware_health_checker'), ('vector_map', '/home/autoware/Autoware/install/vector_map'), ('lanelet2_extension', '/home/autoware/Autoware/install/lanelet2_extension'), ('libwaypoint_follower', '/home/autoware/Autoware/install/libwaypoint_follower')])}
[0.004219] (waypoint_planner) JobStarted: {'identifier': 'waypoint_planner'}
[0.099532] (-) TimerEvent: {}
[0.200166] (-) TimerEvent: {}
[0.300618] (-) TimerEvent: {}
[0.321219] (waypoint_planner) JobProgress: {'identifier': 'waypoint_planner', 'progress': 'cmake'}
[0.323396] (waypoint_planner) JobProgress: {'identifier': 'waypoint_planner', 'progress': 'build'}
